timestamp,open,high,low,close,volume
2021-06-17,40.23,40.57,38.3,39.13,6007.61849007
2021-06-18,39.14,39.36,35.0,36.62,13557.35719612
2021-06-19,36.82,37.35,35.0,35.45,16986.16371574
2021-06-20,35.09,35.89,31.48,35.28,38681.26577486
2021-06-21,35.08,35.08,26.0,26.55,41903.6132244999
2021-06-22,26.43,28.69,20.2,26.18,43706.21997977
2021-06-23,26.79,32.71,26.79,30.0,37290.4445807601
2021-06-24,30.27,33.56,28.64,32.6,8774.80985671
2021-06-25,29.47,29.47,28.37,29.03,4162.9562963
2021-06-26,28.69,30.02,26.7,29.38,26213.15592514
2021-06-27,29.75,31.86,29.22,31.75,8770.79977198
2021-06-28,31.85,39.02,31.27,32.98,31822.5439439
2021-06-29,32.98,40.0,32.87,33.78,41821.27190536
2021-06-30,33.88,35.83,31.32,35.83,79213.6141952599
2021-07-01,35.57,35.57,32.4,33.4,36924.8431896101
2021-07-02,33.24,34.07,31.44,34.07,45209.4887751999
2021-07-03,34.05,35.35,33.34,34.53,38210.4483131599
2021-07-04,34.43,35.54,33.61,34.36,51599.70355906
2021-07-05,34.33,34.47,32.46,32.91,34278.7218998301
2021-07-06,33.05,35.0,33.02,34.29,52631.22243746
2021-07-07,34.16,40.0,33.89,36.5,105047.0629772495
2021-07-08,36.6,36.99,32.75,33.19,121745.7299059899
2021-07-09,33.19,34.41,32.01,33.33,55544.40437247
2021-07-10,33.34,34.16,31.09,31.72,30297.74290243
2021-07-11,31.72,32.57,31.42,32.06,23938.04596829
2021-07-12,32.17,32.62,30.09,30.96,46221.7752249699
2021-07-13,30.65,31.03,28.87,29.16,56957.52221411
2021-07-14,29.08,31.43,27.45,31.32,57111.07201248
2021-07-15,31.32,31.41,28.07,28.51,92720.05468001
2021-07-16,28.53,29.4,26.19,26.29,93684.11124659
2021-07-17,26.27,27.77,26.01,26.73,62718.5463429299
2021-07-18,26.78,27.72,26.35,26.82,33297.02050214
2021-07-19,26.67,26.67,23.82,24.52,217874.0903622097
2021-07-20,24.61,24.95,22.22,23.44,71017.2163323698
2021-07-21,23.42,27.42,22.84,26.61,85280.1748451998
2021-07-22,26.74,28.13,25.94,27.87,79836.13761698
2021-07-23,27.86,28.63,26.47,28.49,36903.36613024
2021-07-24,28.55,29.48,28.07,28.64,50718.3194582701
2021-07-25,28.56,28.82,26.61,28.27,27269.32700671
2021-07-26,28.27,31.14,27.88,28.33,115082.25942596
2021-07-27,28.07,28.97,26.94,28.13,57110.0141029699
2021-07-28,28.06,28.75,27.38,27.83,74923.21515248
2021-07-29,27.76,31.85,27.38,31.25,70450.20575349
2021-07-30,31.3,33.0,30.0,32.42,82274.8033587101
2021-07-31,32.41,36.96,31.72,36.7,80069.4154097598
2021-08-01,36.79,40.78,33.17,34.32,83650.4793588298
2021-08-02,34.17,35.87,33.07,33.21,53333.8613413501
2021-08-03,33.18,35.8,32.39,34.07,100235.3829746201
2021-08-04,34.08,36.65,33.22,35.77,87916.7931455599
2021-08-05,35.75,38.2,35.53,37.36,85725.66576667
2021-08-06,37.39,40.35,35.73,39.49,67057.12866416
2021-08-07,39.41,40.5,37.54,39.42,75935.8138676002
2021-08-08,39.52,39.53,36.95,37.64,41940.07673885
2021-08-09,37.67,40.0,36.37,38.8,72398.49790718
2021-08-10,38.64,41.65,38.26,40.67,83000.2215599902
2021-08-11,40.68,43.7,40.68,41.71,74184.27279637
2021-08-12,41.71,43.4,39.38,41.01,55304.08955605
2021-08-13,41.11,44.9,40.75,44.9,129071.3893655596
2021-08-14,44.76,44.85,42.8,44.17,40881.57624739
2021-08-15,44.18,54.75,43.45,53.46,119589.6374759297
2021-08-16,53.76,69.06,52.4,62.15,379343.8105430997
2021-08-17,62.36,75.0,58.87,64.18,366376.012864906
2021-08-18,64.23,114.0,59.83,72.8,561324.4670693139
2021-08-19,72.76,75.34,68.4,72.79,278900.0934632006
2021-08-20,72.8,79.94,71.0,78.85,301633.4857179511
2021-08-21,78.69,84.0,72.68,73.8,212867.5796414692
2021-08-22,73.92,77.61,71.34,72.66,118089.3305329302
2021-08-23,72.82,76.7,71.67,75.63,123445.36104096
2021-08-24,75.69,79.38,66.0,70.83,233941.1273297908
2021-08-25,70.56,72.7,66.23,71.95,171898.6336805989
2021-08-26,71.96,78.32,66.34,74.74,306416.0775653733
2021-08-27,74.95,88.92,72.71,87.99,379522.505025242
2021-08-28,87.91,97.89,85.66,96.24,219137.9320951398
2021-08-29,96.29,97.81,90.53,94.28,135138.74650936
2021-08-30,94.2,116.45,93.79,110.37,443938.4156718467
2021-08-31,110.02,134.0,103.23,108.4,657346.2767904509
2021-09-01,108.09,119.58,105.69,110.81,383503.1679466218
2021-09-02,110.8,131.9,109.37,128.3,470028.7567247629
2021-09-03,128.14,148.98,128.13,146.49,442250.0911928024
2021-09-04,146.5,150.52,135.89,138.95,293281.2183311529
2021-09-05,139.21,144.94,135.0,142.2,153345.1922726112
2021-09-06,142.15,166.0,137.25,164.5,316390.1090837283
2021-09-07,164.37,195.11,126.0,173.31,1254161.1575936598
2021-09-08,173.31,197.87,146.52,190.98,920897.4855409332
2021-09-09,190.85,216.0,181.0,187.6,799965.1268848145
2021-09-10,187.59,197.25,168.09,179.58,601497.417951856
2021-09-11,179.65,193.26,175.37,179.06,291684.8761929358
2021-09-12,179.0,181.67,170.23,174.45,208676.2061042436
2021-09-13,174.45,175.09,150.0,169.8,440048.5569067805
