symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
BTC/USD,1h,crypto,9,96901,58140,19380,19381,11625,31951,14564,742,2157,535,0.3252,-0.3124,-2.397,-0.3281,0.4414,- LOSS,1751.9
BTC/USD,4h,crypto,9,4561,2736,912,913,146,2375,215,24,0,8,0.25,-0.0215,-0.868,-0.0429,0.203,- LOSS,85.9
BTC/USD,8h,crypto,9,2182,1309,436,437,35,1233,41,6,0,2,0.0,-0.0275,-1.816,-0.0296,0.1055,TOO_FEW_TRADES,40.5
BTC/USD,12h,crypto,9,8644,5186,1729,1729,194,4749,243,0,0,0,0.0,0.0,0.0,0.0,0.1036,TOO_FEW_TRADES,167.4
BTC/USD,1d,crypto,9,4320,2592,864,864,65,2436,91,0,0,0,0.0,0.0,0.0,0.0,0.0632,TOO_FEW_TRADES,102.8
BTC/USD,1w,crypto,9,449,269,90,90,11,236,22,0,0,0,0.0,0.0,0.0,0.0,0.0158,TOO_FEW_TRADES,16.3
ETH/USD,1h,crypto,9,88210,52926,17642,17642,13477,23392,16057,2489,149,353,0.3371,-0.1991,-1.187,-0.204,0.5036,- LOSS,2040.6
ETH/USD,4h,crypto,9,4562,2737,912,913,263,2222,252,54,8,16,0.4375,0.0442,1.45,-0.0384,0.3209,* GOOD,109.8
ETH/USD,8h,crypto,9,2183,1309,437,437,80,1163,66,0,17,5,0.0,-0.0401,-2.084,-0.0476,0.2344,- LOSS,48.7
ETH/USD,12h,crypto,9,7354,4412,1471,1471,270,3715,427,1,0,1,0.0,-0.0179,-4.693,-0.0179,0.1605,TOO_FEW_TRADES,187.2
ETH/USD,1d,crypto,9,3658,2194,732,732,84,1961,149,0,0,0,0.0,0.0,0.0,0.0,0.094,TOO_FEW_TRADES,94.2
ETH/USD,1w,crypto,9,353,211,71,71,14,184,13,0,0,0,0.0,0.0,0.0,0.0,0.0018,TOO_FEW_TRADES,28.8
SOL/USD,1h,crypto,9,40263,24157,8053,8053,7233,9602,7322,147,1047,180,0.4278,0.0231,0.291,-0.1072,0.5378,+ MARGINAL,967.1
SOL/USD,4h,crypto,9,4562,2737,912,913,370,1929,438,53,25,21,0.3333,-0.0204,-0.474,-0.0839,0.3443,- LOSS,112.9
SOL/USD,8h,crypto,9,2183,1309,437,437,111,1066,132,13,4,6,0.1667,-0.0725,-2.507,-0.0972,0.252,- LOSS,51.3
SOL/USD,12h,crypto,9,3116,1869,623,624,117,1589,163,0,7,4,0.25,-0.0238,-2.475,-0.0424,0.2088,TOO_FEW_TRADES,87.7
SOL/USD,1d,crypto,9,1523,913,305,305,40,818,55,0,0,0,0.0,0.0,0.0,0.0,0.1202,TOO_FEW_TRADES,41.3
XRP/USD,1h,crypto,9,75960,45576,15192,15192,12543,21020,12013,3,2252,260,0.3769,-0.1301,-0.822,-0.1915,0.6651,- LOSS,1773.7
XRP/USD,4h,crypto,9,4562,2737,912,913,261,2135,341,53,0,10,0.3,-0.0042,-0.039,-0.0799,0.3082,- LOSS,114.2
XRP/USD,8h,crypto,9,2183,1309,437,437,73,1122,114,12,0,4,0.0,-0.0619,-2.014,-0.0628,0.2267,TOO_FEW_TRADES,51.6
XRP/USD,12h,crypto,9,6093,3655,1219,1219,227,3165,263,3,23,6,0.6667,0.1023,3.366,-0.0811,0.2311,** STRONG,162.0
XRP/USD,1d,crypto,9,3011,1806,602,603,75,1634,97,1,0,1,0.0,-0.0257,-1.085,-0.0257,0.1615,TOO_FEW_TRADES,75.9
ADA/USD,1h,crypto,9,63811,38286,12762,12763,10953,16335,10998,673,1230,319,0.3448,-0.1726,-0.909,-0.2407,0.5362,- LOSS,1491.4
ADA/USD,4h,crypto,9,4562,2737,912,913,346,2013,378,64,0,20,0.15,-0.1086,-3.271,-0.1162,0.3337,- LOSS,109.6
ADA/USD,8h,crypto,9,2183,1309,437,437,101,1103,105,2,0,1,0.0,-0.0114,-1.2,-0.0159,0.1455,TOO_FEW_TRADES,52.6
ADA/USD,12h,crypto,9,5103,3061,1021,1021,175,2625,261,3,1,2,0.5,0.028,1.818,-0.029,0.1664,TOO_FEW_TRADES,141.4
ADA/USD,1d,crypto,9,2516,1509,503,504,56,1360,93,3,0,2,0.0,-0.0437,-0.551,-0.0777,0.1387,TOO_FEW_TRADES,71.6
AVAX/USD,1h,crypto,9,35805,21483,7161,7161,6406,9327,5750,932,98,121,0.3058,-0.1797,-2.084,-0.2207,0.6056,- LOSS,848.6
AVAX/USD,4h,crypto,9,4562,2737,912,913,417,1866,454,17,95,21,0.4762,0.0555,1.259,-0.0498,0.3616,* GOOD,115.2
AVAX/USD,8h,crypto,9,2183,1309,437,437,131,1033,145,22,0,7,0.1429,-0.0497,-1.595,-0.0772,0.2737,- LOSS,50.1
AVAX/USD,12h,crypto,9,2743,1645,549,549,92,1450,103,1,0,1,0.0,-0.0161,-3.107,-0.0285,0.1682,TOO_FEW_TRADES,78.9
AVAX/USD,1d,crypto,9,1336,801,267,268,21,748,32,0,0,0,0.0,0.0,0.0,0.0,0.0807,TOO_FEW_TRADES,37.1
DOT/USD,1h,crypto,9,47558,28534,9512,9512,8053,12451,8030,1068,266,219,0.2877,-0.2805,-2.185,-0.2931,0.5238,- LOSS,1152.7
DOT/USD,4h,crypto,9,4562,2737,912,913,344,2071,322,24,0,6,0.0,-0.0649,-2.663,-0.0719,0.2644,- LOSS,116.5
DOT/USD,8h,crypto,9,2183,1309,437,437,107,1096,106,8,0,3,0.0,-0.043,-2.103,-0.0435,0.2066,TOO_FEW_TRADES,51.4
DOT/USD,12h,crypto,9,3723,2233,745,745,140,1931,162,0,0,0,0.0,0.0,0.0,0.0,0.1101,TOO_FEW_TRADES,101.1
DOT/USD,1d,crypto,9,1826,1095,365,366,45,1008,42,0,0,0,0.0,0.0,0.0,0.0,0.0831,TOO_FEW_TRADES,47.9
MATIC/USD,1h,crypto,9,33713,20227,6743,6743,6333,8396,5498,855,133,185,0.2541,-0.2745,-3.232,-0.2912,0.5271,- LOSS,805.3
